endpoint,contrast,sex,city,agxcat,agecat,agex,age,year,pyr,dose,dose_level,pihat,cate,cate_lo,cate_hi,logRR,rr
solid,control_vs_moderate,2,2,3,12,14.915,55.156,1985.846,0.39475,0.26001,moderate,0.447334229132455,86.24843860734319,-27.170306768617092,277.7492820524347,0.20545894330607484,1.2407881330684527
solid,control_vs_moderate,2,2,2,11,6.375,53.386,1992.616,23.86296,0.2811,moderate,0.4591559757913702,145.29266450912652,-41.26493825533314,436.6843080804605,0.20160409443234162,1.23528733125415
solid,control_vs_moderate,1,2,1,6,4.858,25.129,1965.873,7.05685,2.2e-4,control,0.4589330521504457,3.6476697384210723,-2.1299239175644242,13.29157741245154,0.14123725445206148,1.160058502967493
solid,control_vs_moderate,1,1,12,17,56.099,83.247,1972.748,13.56549,0.186,moderate,0.3996370111968163,449.6150492803519,-91.33271946673308,1237.7430753099181,0.18005657431738972,1.2054291858725439
solid,control_vs_moderate,1,2,8,16,36.042,79.189,1988.753,34.31515,0,control,0.4033951868025306,708.7982021033685,-554.511848639965,2384.467420531289,0.1363626583808658,1.1563231684748279
solid,control_vs_moderate,1,2,2,11,9.248,50.856,1987.213,7.11809,0.13466,moderate,0.4460767523565383,65.95928735537551,-33.17130997298072,213.70933797145557,0.14135380479266968,1.1601895557545097
solid,control_vs_moderate,2,2,5,13,21.124,64.261,1988.742,3.42901,0.14333,moderate,0.43665333820659397,55.53862478945178,-227.1046030998172,443.90299335325255,0.05682746201731986,1.0787092482585836
solid,control_vs_moderate,1,2,7,10,30.889,48.144,1962.86,12.98858,0.1429,moderate,0.41836513750314935,-3.8654971523665815,-46.86489665045138,39.86693908883022,-0.03917490563760176,0.972481528610466
solid,control_vs_moderate,1,2,4,9,17.291,41.344,1969.657,18.24363,0.14186000000000001,moderate,0.4380364287225757,25.45153225967522,-9.32259837731547,83.73396767070979,0.16309060573555242,1.1871884598124876
solid,control_vs_moderate,1,1,7,15,34.907,70.157,1980.848,1.35383,0.06909,control,0.43069874574302563,225.2814883682567,-305.6646047215983,950.5423200585633,0.11277936140910941,1.1315489179614122
solid,control_vs_moderate,2,1,5,8,22.921,37.008,1959.684,331.10842,0.39106,moderate,0.46554735477271936,35.42441275540042,-3.082705743719039,101.23183157294558,0.2872349741981665,1.3495007502564658
solid,control_vs_moderate,2,1,2,7,9.916,30.161,1965.84,1.26243,0.35416,moderate,0.4848043775786103,12.109671667391726,-3.9657024515363415,41.851468577860096,0.20052706261253336,1.2338829519516192
solid,control_vs_moderate,1,1,9,12,41.75,58.574,1962.42,160.95722,0.38448,moderate,0.42485181831093816,-47.521631766761885,-250.2490349076607,152.73416256072494,-0.07985875515562016,0.9337215640236318
solid,control_vs_moderate,1,1,10,18,48.095,86.681,1984.185,56.89232,0.38458,moderate,0.40905267055830125,449.4525712229495,-90.2006887499579,1235.5673209312881,0.18024172322910265,1.205678803898749
solid,control_vs_moderate,2,1,7,13,31.629,63.498,1977.465,179.39544,0.06979,control,0.44672757320687445,-1.467215687607392,-187.09336782889727,221.23114336165722,-0.010186543018380515,1.0041962961830306
solid,control_vs_moderate,2,1,5,9,24.843,40.125,1960.879,2.04056,0.03043,control,0.46213148824917527,53.05438681439005,1.2006639218546988,146.63860397817666,0.3409786122158925,1.427302715066453
solid,control_vs_moderate,2,1,5,12,24.756,55.081,1975.921,1.12013,0.05393,control,0.45814945424161174,147.8221969325734,1.8449321358840336,427.70763179995714,0.3411169829563179,1.427442626228712
solid,control_vs_moderate,1,2,5,11,21.733,53.565,1977.436,42.0142,0.01043,control,0.4288822270565735,66.62691330172856,-40.07195721236998,226.91352133513087,0.15140192074935632,1.1736120608315181
